"TA-TAD","Property_Type","House_Index","Date"
"Gore District","Houses","1986","2010-12-31"
"Dunedin City","Houses","1409","2010-12-31"
"New Zealand","All dwellings","1433","2010-12-31"
"New Zealand","Houses","1444","2010-12-31"
"Main Urban Areas","All dwellings","1397","2010-12-31"
"Main Urban Areas","Houses","1403","2010-12-31"
"Auckland Area","Houses","1339","2010-12-31"
"Auckland Area","All dwellings","1342","2010-12-31"
"Wellington Area","All dwellings","1478","2010-12-31"
"Wellington Area","Houses","1500","2010-12-31"
"Far North District","Houses","1436","2010-12-31"
"Far North District","All dwellings","1508","2010-12-31"
"Whangarei District","All dwellings","1517","2010-12-31"
"Whangarei District","Houses","1552","2010-12-31"
"Kaipara District","All dwellings","1631","2010-12-31"
"Kaipara District","Houses","1743","2010-12-31"
"Rodney District","Houses","1424","2010-12-31"
"Rodney District","All dwellings","1429","2010-12-31"
"North Shore City","Houses","1396","2010-12-31"
"North Shore City","All dwellings","1404","2010-12-31"
"Waitakere City","All dwellings","1406","2010-12-31"
"Waitakere City","Houses","1411","2010-12-31"
"Auckland City","All dwellings","1247","2010-12-31"
"Auckland City","Houses","1278","2010-12-31"
"Manukau City","Houses","1429","2010-12-31"
"Manukau City","All dwellings","1439","2010-12-31"
"Papakura District","Houses","1388","2010-12-31"
"Papakura District","All dwellings","1438","2010-12-31"
"Franklin District","Houses","1612","2010-12-31"
"Franklin District","All dwellings","1615","2010-12-31"
"Thames-Coromandel District","All dwellings","1308","2010-12-31"
"Thames-Coromandel District","Houses","1338","2010-12-31"
"Hauraki District","Houses","1664","2010-12-31"
"Hauraki District","All dwellings","1671","2010-12-31"
"Waikato District","All dwellings","1681","2010-12-31"
"Waikato District","Houses","1687","2010-12-31"
"Matamata-Piako District","All dwellings","1812","2010-12-31"
"Matamata-Piako District","Houses","1873","2010-12-31"
"Hamilton City","All dwellings","1560","2010-12-31"
"Hamilton City","Houses","1585","2010-12-31"
"Waipa District","All dwellings","1737","2010-12-31"
"Waipa District","Houses","1753","2010-12-31"
"Otorohanga District","All dwellings","2001","2010-12-31"
"Otorohanga District","Houses","2050","2010-12-31"
"South Waikato District","All dwellings","2073","2010-12-31"
"South Waikato District","Houses","2144","2010-12-31"
"Waitomo District","All dwellings","1645","2010-12-31"
"Waitomo District","Houses","1688","2010-12-31"
"Taupo District","All dwellings","1164","2010-12-31"
"Taupo District","Houses","1239","2010-12-31"
"Western Bay of Plenty District","All dwellings","1470","2010-12-31"
"Western Bay of Plenty District","Houses","1554","2010-12-31"
"Tauranga City","Houses","1265","2010-12-31"
"Tauranga City","All dwellings","1294","2010-12-31"
"Rotorua District","All dwellings","1576","2010-12-31"
"Rotorua District","Houses","1608","2010-12-31"
"Whakatane District","Houses","1495","2010-12-31"
"Whakatane District","All dwellings","1597","2010-12-31"
"Kawerau District","Houses","2001","2010-12-31"
"Kawerau District","All dwellings","2033","2010-12-31"
"Opotiki District","Houses","1530","2010-12-31"
"Opotiki District","All dwellings","1923","2010-12-31"
"Gisborne District","All dwellings","1749","2010-12-31"
"Gisborne District","Houses","1846","2010-12-31"
"Wairoa District","All dwellings","1657","2010-12-31"
"Wairoa District","Houses","1753","2010-12-31"
"Hastings District","Houses","1405","2010-12-31"
"Hastings District","All dwellings","1426","2010-12-31"
"Napier City","Houses","1330","2010-12-31"
"Napier City","All dwellings","1337","2010-12-31"
